Configuration,time,num_colors,conflicts,generation,geneations_conflicts,best
"{'filename': 'myciel5.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 3, 'TOURNAMENT_SIZE': 3, 'SELECTION_METHOD': 'roulette', 'CROSSOVER_METHOD': 'two_point', 'MUTATE_METHOD': 'one'}",0.21758794784545898,6,0,69,"[[0, 22], [1, 22], [2, 22], [3, 22], [4, 20], [5, 18], [6, 18], [7, 16], [8, 16], [9, 16], [10, 16], [11, 16], [12, 16], [13, 11], [14, 11], [15, 11], [16, 10], [17, 10], [18, 10], [19, 10], [20, 10], [21, 9], [22, 9], [23, 9], [24, 9], [25, 8], [26, 8], [27, 8], [28, 6], [29, 6], [30, 6], [31, 6], [32, 6], [33, 6], [34, 6], [35, 6], [36, 6], [37, 5], [38, 5], [39, 5], [40, 5], [41, 4], [42, 4], [43, 4], [44, 3], [45, 3], [46, 3], [47, 3], [48, 3], [49, 2], [50, 2], [51, 1], [52, 1], [53, 1], [54, 1], [55, 1], [56, 1], [57, 1], [58, 1], [59, 1], [60, 1], [61, 1], [62, 1], [63, 1], [64, 1], [65, 1], [66, 1], [67, 1], [68, 1], [69, 0]]","[3, 0, 5, 1, 0, 3, 1, 5, 1, 3, 0, 4, 4, 4, 4, 4, 3, 1, 3, 4, 4, 4, 0, 2, 1, 5, 5, 2, 5, 1, 2, 1, 3, 2, 2, 2, 5, 1, 3, 2, 2, 4, 1, 3, 2, 2, 0]"
"{'filename': 'myciel5.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 3, 'TOURNAMENT_SIZE': 3, 'SELECTION_METHOD': 'roulette', 'CROSSOVER_METHOD': 'two_point', 'MUTATE_METHOD': 'independent'}",0.9535760879516602,6,0,312,"[[0, 21], [1, 20], [2, 19], [3, 19], [4, 19], [5, 19], [6, 18], [7, 13], [8, 13], [9, 13], [10, 13], [11, 13], [12, 13], [13, 13], [14, 13], [15, 13], [16, 13], [17, 13], [18, 13], [19, 13], [20, 13], [21, 13], [22, 13], [23, 13], [24, 13], [25, 13], [26, 11], [27, 11], [28, 11], [29, 11], [30, 11], [31, 11], [32, 11], [33, 11], [34, 10], [35, 10], [36, 10], [37, 10], [38, 10], [39, 10], [40, 10], [41, 7], [42, 7], [43, 7], [44, 7], [45, 7], [46, 7], [47, 7], [48, 7], [49, 7], [50, 7], [51, 7], [52, 7], [53, 7], [54, 7], [55, 7], [56, 7], [57, 7], [58, 7], [59, 7], [60, 7], [61, 7], [62, 7], [63, 7], [64, 7], [65, 7], [66, 7], [67, 7], [68, 7], [69, 7], [70, 7], [71, 7], [72, 7], [73, 7], [74, 7], [75, 7], [76, 7], [77, 7], [78, 7], [79, 7], [80, 7], [81, 7], [82, 7], [83, 7], [84, 7], [85, 7], [86, 7], [87, 7], [88, 7], [89, 7], [90, 7], [91, 7], [92, 7], [93, 7], [94, 4], [95, 4], [96, 4], [97, 4], [98, 4], [99, 4], [100, 4], [101, 4], [102, 4], [103, 4], [104, 4], [105, 4], [106, 4], [107, 4], [108, 4], [109, 4], [110, 4], [111, 3], [112, 3], [113, 3], [114, 3], [115, 3], [116, 3], [117, 3], [118, 3], [119, 3], [120, 3], [121, 3], [122, 3], [123, 3], [124, 3], [125, 3], [126, 3], [127, 3], [128, 3], [129, 3], [130, 3], [131, 3], [132, 3], [133, 3], [134, 3], [135, 3], [136, 3], [137, 3], [138, 3], [139, 3], [140, 3], [141, 3], [142, 3], [143, 3], [144, 3], [145, 3], [146, 3], [147, 3], [148, 3], [149, 3], [150, 3], [151, 3], [152, 3], [153, 3], [154, 3], [155, 3], [156, 3], [157, 3], [158, 3], [159, 3], [160, 3], [161, 3], [162, 3], [163, 3], [164, 3], [165, 3], [166, 3], [167, 3], [168, 3], [169, 3], [170, 3], [171, 3], [172, 3], [173, 3], [174, 3], [175, 3], [176, 2], [177, 2], [178, 2], [179, 2], [180, 2], [181, 2], [182, 2], [183, 2], [184, 2], [185, 2], [186, 2], [187, 2], [188, 2], [189, 2], [190, 2], [191, 2], [192, 2], [193, 2], [194, 2], [195, 2], [196, 2], [197, 2], [198, 2], [199, 2], [200, 2], [201, 2], [202, 2], [203, 2], [204, 2], [205, 2], [206, 2], [207, 2], [208, 2], [209, 2], [210, 2], [211, 2], [212, 2], [213, 2], [214, 2], [215, 2], [216, 2], [217, 2], [218, 2], [219, 2], [220, 2], [221, 2], [222, 2], [223, 2], [224, 2], [225, 2], [226, 2], [227, 2], [228, 2], [229, 2], [230, 2], [231, 2], [232, 2], [233, 2], [234, 2], [235, 2], [236, 2], [237, 2], [238, 2], [239, 2], [240, 1], [241, 1], [242, 1], [243, 1], [244, 1], [245, 1], [246, 1], [247, 1], [248, 1], [249, 1], [250, 1], [251, 1], [252, 1], [253, 1], [254, 1], [255, 1], [256, 1], [257, 1], [258, 1], [259, 1], [260, 1], [261, 1], [262, 1], [263, 1], [264, 1], [265, 1], [266, 1], [267, 1], [268, 1], [269, 1], [270, 1], [271, 1], [272, 1], [273, 1], [274, 1], [275, 1], [276, 1], [277, 1], [278, 1], [279, 1], [280, 1], [281, 1], [282, 1], [283, 1], [284, 1], [285, 1], [286, 1], [287, 1], [288, 1], [289, 1], [290, 1], [291, 1], [292, 1], [293, 1], [294, 1], [295, 1], [296, 1], [297, 1], [298, 1], [299, 1], [300, 1], [301, 1], [302, 1], [303, 1], [304, 1], [305, 1], [306, 1], [307, 1], [308, 1], [309, 1], [310, 1], [311, 1], [312, 0]]","[4, 1, 0, 1, 4, 0, 3, 0, 2, 3, 4, 5, 2, 2, 2, 4, 5, 3, 2, 5, 3, 4, 1, 0, 1, 0, 1, 4, 3, 1, 3, 3, 3, 4, 0, 5, 0, 5, 5, 3, 3, 3, 5, 5, 4, 0, 2]"
"{'filename': 'myciel5.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 3, 'TOURNAMENT_SIZE': 3, 'SELECTION_METHOD': 'roulette', 'CROSSOVER_METHOD': 'uniform', 'MUTATE_METHOD': 'one'}",0.5195729732513428,6,0,187,"[[0, 22], [1, 22], [2, 22], [3, 22], [4, 22], [5, 22], [6, 20], [7, 20], [8, 20], [9, 20], [10, 20], [11, 11], [12, 11], [13, 11], [14, 11], [15, 11], [16, 11], [17, 11], [18, 11], [19, 11], [20, 11], [21, 11], [22, 11], [23, 11], [24, 11], [25, 11], [26, 8], [27, 8], [28, 8], [29, 8], [30, 8], [31, 5], [32, 5], [33, 5], [34, 5], [35, 5], [36, 5], [37, 5], [38, 5], [39, 5], [40, 5], [41, 5], [42, 5], [43, 5], [44, 5], [45, 5], [46, 5], [47, 4], [48, 3], [49, 3], [50, 3], [51, 3], [52, 3], [53, 3], [54, 3], [55, 3], [56, 3], [57, 3], [58, 3], [59, 3], [60, 3], [61, 3], [62, 3], [63, 3], [64, 3], [65, 3], [66, 3], [67, 3], [68, 3], [69, 3], [70, 3], [71, 3], [72, 3], [73, 3], [74, 3], [75, 3], [76, 3], [77, 3], [78, 3], [79, 3], [80, 3], [81, 1], [82, 1], [83, 1], [84, 1], [85, 1], [86, 1], [87, 1], [88, 1], [89, 1], [90, 1], [91, 1], [92, 1], [93, 1], [94, 1], [95, 1], [96, 1], [97, 1], [98, 1], [99, 1], [100, 1], [101, 1], [102, 1], [103, 1], [104, 1], [105, 1], [106, 1], [107, 1], [108, 1], [109, 1], [110, 1], [111, 1], [112, 1], [113, 1], [114, 1], [115, 1], [116, 1], [117, 1], [118, 1], [119, 1], [120, 1], [121, 1], [122, 1], [123, 1], [124, 1], [125, 1], [126, 1], [127, 1], [128, 1], [129, 1], [130, 1], [131, 1], [132, 1], [133, 1], [134, 1], [135, 1], [136, 1], [137, 1], [138, 1], [139, 1], [140, 1], [141, 1], [142, 1], [143, 1], [144, 1], [145, 1], [146, 1], [147, 1], [148, 1], [149, 1], [150, 1], [151, 1], [152, 1], [153, 1], [154, 1], [155, 1], [156, 1], [157, 1], [158, 1], [159, 1], [160, 1], [161, 1], [162, 1], [163, 1], [164, 1], [165, 1], [166, 1], [167, 1], [168, 1], [169, 1], [170, 1], [171, 1], [172, 1], [173, 1], [174, 1], [175, 1], [176, 1], [177, 1], [178, 1], [179, 1], [180, 1], [181, 1], [182, 1], [183, 1], [184, 1], [185, 1], [186, 1], [187, 0]]","[0, 5, 2, 4, 0, 2, 4, 4, 4, 0, 5, 0, 5, 1, 4, 1, 1, 1, 4, 4, 0, 5, 2, 2, 3, 2, 3, 0, 2, 3, 3, 3, 3, 3, 3, 1, 1, 4, 3, 1, 1, 3, 3, 3, 3, 2, 5]"
"{'filename': 'myciel5.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 3, 'TOURNAMENT_SIZE': 3, 'SELECTION_METHOD': 'roulette', 'CROSSOVER_METHOD': 'uniform', 'MUTATE_METHOD': 'independent'}",0.727215051651001,6,0,236,"[[0, 23], [1, 23], [2, 23], [3, 23], [4, 22], [5, 21], [6, 21], [7, 21], [8, 21], [9, 21], [10, 21], [11, 21], [12, 15], [13, 15], [14, 15], [15, 15], [16, 15], [17, 14], [18, 14], [19, 12], [20, 12], [21, 12], [22, 12], [23, 12], [24, 12], [25, 12], [26, 12], [27, 12], [28, 12], [29, 12], [30, 12], [31, 12], [32, 12], [33, 12], [34, 11], [35, 11], [36, 11], [37, 11], [38, 11], [39, 11], [40, 11], [41, 11], [42, 11], [43, 11], [44, 9], [45, 9], [46, 9], [47, 9], [48, 9], [49, 9], [50, 9], [51, 9], [52, 9], [53, 9], [54, 9], [55, 9], [56, 9], [57, 9], [58, 9], [59, 9], [60, 7], [61, 7], [62, 7], [63, 7], [64, 7], [65, 7], [66, 7], [67, 7], [68, 7], [69, 7], [70, 7], [71, 7], [72, 7], [73, 7], [74, 7], [75, 5], [76, 5], [77, 5], [78, 5], [79, 5], [80, 5], [81, 5], [82, 4], [83, 4], [84, 4], [85, 4], [86, 4], [87, 4], [88, 4], [89, 4], [90, 4], [91, 4], [92, 4], [93, 4], [94, 4], [95, 4], [96, 4], [97, 4], [98, 4], [99, 4], [100, 4], [101, 4], [102, 3], [103, 3], [104, 3], [105, 3], [106, 3], [107, 3], [108, 3], [109, 3], [110, 3], [111, 3], [112, 3], [113, 3], [114, 3], [115, 3], [116, 3], [117, 3], [118, 3], [119, 3], [120, 3], [121, 3], [122, 3], [123, 3], [124, 3], [125, 3], [126, 2], [127, 2], [128, 2], [129, 2], [130, 2], [131, 2], [132, 2], [133, 2], [134, 2], [135, 2], [136, 2], [137, 2], [138, 2], [139, 2], [140, 2], [141, 2], [142, 2], [143, 2], [144, 2], [145, 2], [146, 2], [147, 2], [148, 2], [149, 2], [150, 2], [151, 2], [152, 2], [153, 2], [154, 2], [155, 2], [156, 2], [157, 2], [158, 2], [159, 1], [160, 1], [161, 1], [162, 1], [163, 1], [164, 1], [165, 1], [166, 1], [167, 1], [168, 1], [169, 1], [170, 1], [171, 1], [172, 1], [173, 1], [174, 1], [175, 1], [176, 1], [177, 1], [178, 1], [179, 1], [180, 1], [181, 1], [182, 1], [183, 1], [184, 1], [185, 1], [186, 1], [187, 1], [188, 1], [189, 1], [190, 1], [191, 1], [192, 1], [193, 1], [194, 1], [195, 1], [196, 1], [197, 1], [198, 1], [199, 1], [200, 1], [201, 1], [202, 1], [203, 1], [204, 1], [205, 1], [206, 1], [207, 1], [208, 1], [209, 1], [210, 1], [211, 1], [212, 1], [213, 1], [214, 1], [215, 1], [216, 1], [217, 1], [218, 1], [219, 1], [220, 1], [221, 1], [222, 1], [223, 1], [224, 1], [225, 1], [226, 1], [227, 1], [228, 1], [229, 1], [230, 1], [231, 1], [232, 1], [233, 1], [234, 1], [235, 1], [236, 0]]","[1, 5, 0, 0, 5, 2, 2, 1, 2, 1, 5, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 5, 4, 4, 4, 4, 4, 2, 2, 4, 2, 4, 4, 3, 4, 3, 4, 3, 4, 2, 3, 2, 3, 3, 4, 0]"
"{'filename': 'myciel5.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 3, 'TOURNAMENT_SIZE': 3, 'SELECTION_METHOD': 'rank', 'CROSSOVER_METHOD': 'two_point', 'MUTATE_METHOD': 'one'}",0.12059998512268066,6,0,37,"[[0, 24], [1, 21], [2, 18], [3, 18], [4, 15], [5, 15], [6, 15], [7, 15], [8, 13], [9, 13], [10, 13], [11, 13], [12, 12], [13, 10], [14, 9], [15, 9], [16, 9], [17, 7], [18, 7], [19, 7], [20, 7], [21, 7], [22, 7], [23, 6], [24, 6], [25, 5], [26, 4], [27, 4], [28, 4], [29, 4], [30, 4], [31, 3], [32, 3], [33, 3], [34, 3], [35, 2], [36, 2], [37, 0]]","[5, 4, 0, 4, 3, 3, 2, 0, 2, 3, 5, 5, 4, 1, 4, 1, 2, 2, 0, 2, 1, 5, 3, 5, 4, 0, 0, 5, 0, 4, 0, 4, 3, 4, 0, 1, 1, 4, 5, 1, 1, 0, 0, 1, 5, 3, 2]"
"{'filename': 'myciel5.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 3, 'TOURNAMENT_SIZE': 3, 'SELECTION_METHOD': 'rank', 'CROSSOVER_METHOD': 'two_point', 'MUTATE_METHOD': 'independent'}",0.68597412109375,6,0,200,"[[0, 26], [1, 22], [2, 22], [3, 22], [4, 22], [5, 19], [6, 19], [7, 19], [8, 17], [9, 17], [10, 17], [11, 17], [12, 17], [13, 14], [14, 14], [15, 14], [16, 14], [17, 13], [18, 13], [19, 13], [20, 13], [21, 13], [22, 11], [23, 10], [24, 10], [25, 9], [26, 9], [27, 9], [28, 8], [29, 8], [30, 8], [31, 8], [32, 8], [33, 8], [34, 8], [35, 7], [36, 7], [37, 7], [38, 7], [39, 7], [40, 7], [41, 7], [42, 7], [43, 7], [44, 7], [45, 7], [46, 7], [47, 7], [48, 7], [49, 7], [50, 7], [51, 7], [52, 7], [53, 7], [54, 7], [55, 7], [56, 7], [57, 7], [58, 7], [59, 7], [60, 6], [61, 6], [62, 6], [63, 6], [64, 6], [65, 6], [66, 5], [67, 5], [68, 5], [69, 5], [70, 3], [71, 3], [72, 3], [73, 3], [74, 3], [75, 3], [76, 3], [77, 3], [78, 3], [79, 3], [80, 3], [81, 3], [82, 3], [83, 3], [84, 3], [85, 3], [86, 3], [87, 3], [88, 3], [89, 3], [90, 3], [91, 3], [92, 3], [93, 3], [94, 3], [95, 3], [96, 2], [97, 2], [98, 2], [99, 2], [100, 2], [101, 2], [102, 2], [103, 2], [104, 2], [105, 2], [106, 2], [107, 2], [108, 2], [109, 2], [110, 2], [111, 2], [112, 2], [113, 2], [114, 2], [115, 2], [116, 2], [117, 2], [118, 2], [119, 2], [120, 2], [121, 2], [122, 2], [123, 2], [124, 2], [125, 2], [126, 2], [127, 2], [128, 2], [129, 2], [130, 2], [131, 2], [132, 2], [133, 2], [134, 2], [135, 2], [136, 2], [137, 2], [138, 2], [139, 2], [140, 2], [141, 2], [142, 2], [143, 2], [144, 2], [145, 1], [146, 1], [147, 1], [148, 1], [149, 1], [150, 1], [151, 1], [152, 1], [153, 1], [154, 1], [155, 1], [156, 1], [157, 1], [158, 1], [159, 1], [160, 1], [161, 1], [162, 1], [163, 1], [164, 1], [165, 1], [166, 1], [167, 1], [168, 1], [169, 1], [170, 1], [171, 1], [172, 1], [173, 1], [174, 1], [175, 1], [176, 1], [177, 1], [178, 1], [179, 1], [180, 1], [181, 1], [182, 1], [183, 1], [184, 1], [185, 1], [186, 1], [187, 1], [188, 1], [189, 1], [190, 1], [191, 1], [192, 1], [193, 1], [194, 1], [195, 1], [196, 1], [197, 1], [198, 1], [199, 1], [200, 0]]","[2, 5, 1, 5, 3, 1, 4, 1, 4, 4, 5, 2, 3, 2, 5, 3, 3, 3, 2, 4, 0, 3, 1, 2, 0, 2, 5, 0, 1, 4, 1, 0, 0, 5, 0, 5, 0, 5, 2, 0, 0, 4, 4, 4, 0, 1, 3]"
"{'filename': 'myciel5.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 3, 'TOURNAMENT_SIZE': 3, 'SELECTION_METHOD': 'rank', 'CROSSOVER_METHOD': 'uniform', 'MUTATE_METHOD': 'one'}",0.14903712272644043,6,0,44,"[[0, 22], [1, 22], [2, 22], [3, 22], [4, 22], [5, 22], [6, 22], [7, 18], [8, 18], [9, 17], [10, 17], [11, 17], [12, 17], [13, 15], [14, 13], [15, 13], [16, 12], [17, 12], [18, 12], [19, 11], [20, 9], [21, 9], [22, 9], [23, 8], [24, 7], [25, 7], [26, 7], [27, 6], [28, 6], [29, 6], [30, 6], [31, 5], [32, 5], [33, 5], [34, 4], [35, 3], [36, 3], [37, 3], [38, 2], [39, 2], [40, 2], [41, 2], [42, 2], [43, 1], [44, 0]]","[0, 5, 1, 1, 0, 4, 4, 4, 3, 0, 1, 0, 5, 1, 1, 0, 0, 4, 4, 4, 2, 1, 3, 2, 2, 3, 1, 2, 4, 2, 3, 4, 2, 5, 2, 5, 1, 5, 5, 4, 4, 4, 4, 5, 1, 3, 0]"
"{'filename': 'myciel5.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 3, 'TOURNAMENT_SIZE': 3, 'SELECTION_METHOD': 'rank', 'CROSSOVER_METHOD': 'uniform', 'MUTATE_METHOD': 'independent'}",NO_SOLUTION,6,1,499,,
"{'filename': 'myciel5.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 3, 'TOURNAMENT_SIZE': 3, 'SELECTION_METHOD': 'sus', 'CROSSOVER_METHOD': 'two_point', 'MUTATE_METHOD': 'one'}",0.3168199062347412,6,0,105,"[[0, 22], [1, 22], [2, 22], [3, 22], [4, 20], [5, 20], [6, 20], [7, 20], [8, 18], [9, 17], [10, 17], [11, 17], [12, 16], [13, 16], [14, 15], [15, 15], [16, 14], [17, 14], [18, 11], [19, 11], [20, 10], [21, 8], [22, 8], [23, 8], [24, 8], [25, 8], [26, 6], [27, 5], [28, 5], [29, 4], [30, 4], [31, 4], [32, 4], [33, 4], [34, 4], [35, 4], [36, 3], [37, 3], [38, 3], [39, 3], [40, 3], [41, 3], [42, 3], [43, 3], [44, 3], [45, 3], [46, 3], [47, 3], [48, 3], [49, 3], [50, 3], [51, 3], [52, 3], [53, 3], [54, 2], [55, 2], [56, 2], [57, 2], [58, 2], [59, 2], [60, 2], [61, 2], [62, 2], [63, 2], [64, 2], [65, 2], [66, 1], [67, 1], [68, 1], [69, 1], [70, 1], [71, 1], [72, 1], [73, 1], [74, 1], [75, 1], [76, 1], [77, 1], [78, 1], [79, 1], [80, 1], [81, 1], [82, 1], [83, 1], [84, 1], [85, 1], [86, 1], [87, 1], [88, 1], [89, 1], [90, 1], [91, 1], [92, 1], [93, 1], [94, 1], [95, 1], [96, 1], [97, 1], [98, 1], [99, 1], [100, 1], [101, 1], [102, 1], [103, 1], [104, 1], [105, 0]]","[0, 3, 5, 5, 1, 0, 3, 2, 3, 0, 1, 1, 3, 5, 3, 1, 4, 4, 4, 4, 4, 1, 0, 2, 3, 2, 2, 0, 2, 4, 2, 4, 4, 5, 2, 3, 2, 3, 4, 2, 2, 5, 5, 4, 4, 2, 1]"
"{'filename': 'myciel5.col', 'POPULATION_SIZE': 100, 'GENERATIONS': 500, 'MUTATION_RATE': 0.05, 'ELITISM_SIZE': 3, 'TOURNAMENT_SIZE': 3, 'SELECTION_METHOD': 'sus', 'CROSSOVER_METHOD': 'two_point', 'MUTATE_METHOD': 'independent'}",NO_SOLUTION,6,1,499,,
