Configuration,time,num_colors,min_conflict,conflicts,best
"{'filename': 'myciel5.col', 'TABU_LIST_SIZE': 8, 'MAX_ITERATIONS': 50000}",0.03737592697143555,6,0,[],"[4, 2, 4, 3, 2, 1, 3, 0, 3, 0, 2, 1, 2, 1, 5, 2, 1, 3, 5, 3, 5, 2, 0, 0, 3, 1, 3, 2, 0, 0, 1, 0, 0, 2, 1, 5, 1, 5, 2, 1, 1, 1, 1, 5, 2, 0, 4]"
"{'filename': 'myciel5.col', 'TABU_LIST_SIZE': 8, 'MAX_ITERATIONS': 100000}",0.017899036407470703,6,0,[],"[3, 5, 0, 5, 3, 4, 5, 4, 5, 4, 3, 1, 5, 1, 1, 1, 4, 1, 1, 1, 1, 3, 0, 4, 5, 0, 2, 2, 0, 4, 2, 0, 2, 0, 2, 5, 2, 1, 1, 1, 5, 1, 2, 1, 1, 0, 3]"
"{'filename': 'myciel5.col', 'TABU_LIST_SIZE': 8, 'MAX_ITERATIONS': 200000}",0.022071123123168945,6,0,[],"[0, 5, 3, 3, 2, 2, 4, 4, 5, 2, 1, 0, 5, 3, 3, 2, 2, 2, 0, 3, 2, 3, 4, 1, 1, 1, 1, 1, 0, 5, 0, 5, 5, 1, 2, 5, 0, 1, 2, 0, 2, 0, 5, 0, 0, 1, 3]"
"{'filename': 'myciel5.col', 'TABU_LIST_SIZE': 12, 'MAX_ITERATIONS': 50000}",0.02776026725769043,6,0,[],"[1, 4, 0, 0, 1, 1, 4, 0, 4, 1, 5, 5, 5, 0, 4, 1, 1, 2, 2, 2, 2, 5, 3, 3, 3, 0, 0, 5, 3, 2, 2, 0, 3, 3, 1, 5, 2, 5, 1, 1, 2, 0, 0, 1, 2, 3, 4]"
"{'filename': 'myciel5.col', 'TABU_LIST_SIZE': 12, 'MAX_ITERATIONS': 100000}",0.021651029586791992,6,0,[],"[2, 3, 1, 3, 0, 2, 4, 2, 3, 4, 0, 2, 4, 5, 1, 5, 4, 3, 5, 1, 2, 5, 0, 0, 0, 1, 1, 4, 2, 4, 1, 4, 2, 0, 1, 5, 1, 1, 4, 1, 5, 2, 5, 5, 1, 0, 3]"
"{'filename': 'myciel5.col', 'TABU_LIST_SIZE': 12, 'MAX_ITERATIONS': 200000}",0.021584033966064453,6,0,[],"[5, 0, 1, 1, 5, 3, 0, 3, 0, 3, 1, 5, 0, 1, 0, 5, 4, 2, 4, 2, 2, 1, 3, 3, 2, 4, 0, 5, 4, 0, 3, 4, 4, 5, 4, 0, 2, 0, 4, 5, 2, 2, 4, 5, 4, 3, 1]"
"{'filename': 'myciel5.col', 'TABU_LIST_SIZE': 15, 'MAX_ITERATIONS': 50000}",0.021203279495239258,6,0,[],"[5, 3, 5, 0, 3, 1, 3, 5, 1, 3, 0, 5, 0, 0, 0, 4, 5, 4, 1, 1, 1, 0, 2, 2, 4, 2, 2, 3, 4, 1, 2, 1, 2, 2, 4, 0, 1, 0, 3, 1, 1, 1, 4, 1, 4, 2, 5]"
"{'filename': 'myciel5.col', 'TABU_LIST_SIZE': 15, 'MAX_ITERATIONS': 100000}",0.02731800079345703,6,0,[],"[4, 1, 3, 5, 1, 2, 1, 2, 3, 1, 4, 4, 1, 4, 5, 4, 2, 1, 2, 2, 1, 4, 3, 0, 5, 5, 3, 0, 0, 1, 2, 2, 2, 5, 2, 5, 2, 0, 0, 0, 5, 2, 2, 2, 0, 0, 4]"
"{'filename': 'myciel5.col', 'TABU_LIST_SIZE': 15, 'MAX_ITERATIONS': 200000}",0.02508091926574707,6,0,[],"[3, 5, 4, 4, 0, 3, 5, 3, 5, 3, 0, 3, 5, 1, 4, 1, 1, 2, 3, 4, 3, 1, 0, 0, 0, 4, 5, 0, 2, 5, 2, 4, 5, 0, 1, 5, 2, 1, 1, 1, 1, 2, 4, 1, 2, 0, 3]"
"{'filename': 'myciel5.col', 'TABU_LIST_SIZE': 8, 'MAX_ITERATIONS': 50000}",0.022411108016967773,7,0,[],"[6, 4, 6, 0, 4, 2, 4, 0, 0, 4, 3, 2, 3, 3, 0, 1, 2, 5, 2, 5, 2, 6, 4, 2, 5, 0, 5, 1, 1, 0, 2, 0, 2, 1, 5, 1, 0, 0, 2, 1, 2, 0, 1, 1, 1, 4, 3]"
"{'filename': 'myciel5.col', 'TABU_LIST_SIZE': 8, 'MAX_ITERATIONS': 100000}",0.01733088493347168,7,0,[],"[1, 2, 0, 0, 2, 5, 2, 0, 0, 2, 1, 6, 2, 1, 0, 2, 5, 2, 4, 0, 5, 1, 3, 6, 3, 0, 4, 3, 5, 5, 6, 4, 2, 6, 5, 2, 6, 0, 2, 5, 6, 5, 0, 5, 4, 3, 1]"
"{'filename': 'myciel5.col', 'TABU_LIST_SIZE': 8, 'MAX_ITERATIONS': 200000}",0.02155017852783203,7,0,[],"[5, 6, 0, 0, 6, 5, 4, 2, 4, 5, 6, 3, 3, 2, 4, 3, 3, 2, 0, 4, 4, 0, 6, 1, 4, 0, 0, 3, 5, 1, 2, 2, 1, 1, 5, 1, 3, 0, 3, 3, 1, 2, 0, 5, 3, 1, 6]"
"{'filename': 'myciel5.col', 'TABU_LIST_SIZE': 12, 'MAX_ITERATIONS': 50000}",0.023779630661010742,7,0,[],"[3, 2, 1, 1, 6, 4, 4, 3, 4, 6, 0, 6, 0, 0, 1, 5, 3, 6, 1, 1, 3, 5, 4, 5, 5, 1, 1, 5, 6, 2, 3, 1, 3, 5, 3, 2, 5, 1, 2, 3, 5, 1, 1, 2, 1, 2, 0]"
"{'filename': 'myciel5.col', 'TABU_LIST_SIZE': 12, 'MAX_ITERATIONS': 100000}",0.029156923294067383,7,0,[],"[2, 6, 4, 4, 2, 1, 6, 1, 3, 0, 4, 1, 0, 3, 3, 0, 0, 3, 3, 0, 0, 5, 4, 1, 5, 5, 6, 5, 1, 0, 1, 6, 1, 4, 5, 3, 3, 3, 6, 0, 5, 0, 1, 5, 5, 4, 2]"
"{'filename': 'myciel5.col', 'TABU_LIST_SIZE': 12, 'MAX_ITERATIONS': 200000}",0.027276039123535156,7,0,[],"[5, 2, 3, 0, 1, 3, 6, 3, 3, 2, 1, 1, 0, 4, 4, 1, 3, 0, 3, 0, 4, 1, 2, 1, 6, 5, 0, 1, 6, 0, 5, 0, 2, 1, 5, 1, 0, 0, 1, 4, 0, 4, 6, 5, 4, 5, 3]"
"{'filename': 'myciel5.col', 'TABU_LIST_SIZE': 15, 'MAX_ITERATIONS': 50000}",0.02422189712524414,7,0,[],"[0, 2, 0, 2, 3, 0, 5, 0, 5, 3, 1, 0, 2, 0, 2, 6, 4, 2, 0, 2, 4, 2, 5, 0, 5, 1, 1, 6, 3, 4, 4, 4, 6, 1, 1, 1, 6, 6, 3, 6, 3, 6, 4, 4, 1, 3, 2]"
"{'filename': 'myciel5.col', 'TABU_LIST_SIZE': 15, 'MAX_ITERATIONS': 100000}",0.020474910736083984,7,0,[],"[3, 6, 5, 6, 3, 1, 1, 1, 6, 1, 3, 5, 4, 5, 4, 0, 1, 1, 4, 0, 4, 0, 3, 5, 6, 2, 6, 2, 5, 1, 1, 4, 2, 5, 0, 0, 0, 2, 0, 2, 0, 1, 6, 1, 4, 2, 3]"
"{'filename': 'myciel5.col', 'TABU_LIST_SIZE': 15, 'MAX_ITERATIONS': 200000}",0.025976181030273438,7,0,[],"[4, 6, 0, 6, 1, 5, 1, 5, 5, 1, 4, 2, 2, 3, 0, 2, 2, 2, 3, 2, 2, 2, 1, 3, 6, 5, 3, 4, 5, 6, 5, 3, 1, 6, 4, 3, 4, 2, 2, 5, 2, 2, 5, 2, 2, 4, 0]"
